   0.5   0.996841   4.77085e-06
   0.6   0.986775   4.28742e-06
   0.7   0.985546   4.01745e-06
   0.8   0.984261   3.9741e-06
   0.9   0.977623   3.6793e-06
   1   0.970022   6.28639e-06
   1.1   0.969389   4.33078e-06
   1.2   0.970424   7.76672e-06
   1.3   0.971484   1.05947e-05
   1.4   0.961677   1.57127e-05
   1.5   0.957199   2.14407e-05
   1.6   0.946518   3.6821e-05
   1.7   0.934417   6.30335e-05
   1.8   0.930681   8.40304e-05
   1.9   0.909239   0.000143413
   2   0.882469   0.000276913
   2.1   0.823459   0.00134334
   2.2   0.564284   0.0175765
   2.3   0.440206   0.0160427
   2.4   0.261039   0.0126061
   2.5   0.164693   0.00620353
   2.6   0.126924   0.00323797
   2.7   0.12129   0.00258439
   2.8   0.129872   0.00236238
   2.9   0.10298   0.00164282
   3   0.0816195   0.00115541
   3.1   0.0786447   0.000960879
   3.2   0.0686629   0.000770053
   3.3   0.0664403   0.000677568
   3.4   0.056402   0.000512484
   3.5   0.0665238   0.000595605
   3.6   0.0628965   0.000519542
   3.7   0.0595781   0.000466305
   3.8   0.0533583   0.000385672
   3.9   0.0539104   0.000372435
   4   0.0518764   0.000340555
